	title	artists	title_full	entry_date	entry_position	peak_position	total_weeks
0	perfect	{'artists': ['logic']}	perfect - logic	2020-08-08	95	95	1
1	rockstar	{'artists': ['dababy'], 'featuring': ['roddy ricch']}	rockstar - dababy featuring roddy ricch	2020-05-02	9	1	15
2	havana	{'artists': ['camila cabello'], 'featuring': ['young thug']}	havana - camila cabello featuring young thug	2017-09-09	94	1	45
3	gucci gang	{'artists': ['lil pump']}	gucci gang - lil pump	2017-09-30	81	3	24
4	no limit	{'artists': ['g-eazy'], 'featuring': ['a$ap rocky', 'cardi b']}	no limit - g-eazy featuring a$ap rocky & cardi b	2017-09-30	85	4	29
5	thunder	{'artists': ['imagine dragons']}	thunder - imagine dragons	2017-05-20	70	4	52
6	motorsport	{'artists': ['migos', 'nicki minaj', 'cardi b']}	motorsport - migos, nicki minaj & cardi b	2017-11-18	14	6	22
7	too good at goodbyes	{'artists': ['sam smith']}	too good at goodbyes - sam smith	2017-09-30	5	4	24
8	all i want for christmas is you	{'artists': ['mariah carey']}	all i want for christmas is you - mariah carey	2018-12-01	29	3	19
9	bad at love	{'artists': ['halsey']}	bad at love - halsey	2017-09-23	81	5	33
10	river	{'artists': ['eminem'], 'featuring': ['ed sheeran']}	river - eminem featuring ed sheeran	2018-01-03	11	11	13
11	bodak yellow	{'artists': ['cardi b']}	bodak yellow - cardi b	2017-07-22	85	1	35
12	new rules	{'artists': ['dua lipa']}	new rules - dua lipa	2017-08-19	90	6	48
13	gummo	{'artists': ['6ix9ine']}	gummo - 6ix9ine	2017-12-02	58	12	20
14	him & i	{'artists': ['g-eazy', 'halsey']}	him & i - g-eazy & halsey	2017-12-23	21	14	20
15	i fall apart	{'artists': ['post malone']}	i fall apart - post malone	2017-10-14	65	16	30
16	what lovers do	{'artists': ['maroon 5'], 'featuring': ['sza']}	what lovers do - maroon 5 featuring sza	2017-09-16	73	9	22
17	let you down	{'artists': ['nf']}	let you down - nf	2017-11-04	87	12	28
18	i get the bag	{'artists': ['gucci mane'], 'featuring': ['migos']}	i get the bag - gucci mane featuring migos	2017-09-09	34	11	27
